STATE,RANK,INDEX,GROCERY,HOUSING,UTILITIES,TRANS,"HEALTH
CARE",MSC
Mississippi,1,84.8,93.8,67.3,89.5,89.6,89.6,91.6
Oklahoma,2,86.5,94.1,70.3,95.4,90.1,92.9,92
Arkansas,3,87.1,91.2,73.9,92.2,83.6,85.6,95.6
New Mexico,4,88.2,100.9,77.9,88.4,93.4,99.2,88.7
Missouri,5,88.5,97.2,70.6,98.6,92.2,97.3,94.2
Kansas,6,88.5,92.6,72.5,101,93.4,97.9,93.6
Tennessee,7,88.6,94,72.5,98.6,92.2,97.3,94.2
Georgia,8,89.2,98.1,72.2,91.4,95.6,97.3,95.6
Alabama,9,89.2,95.5,69.9,105.3,90.1,89.6,97.2
Michigan,10,89.8,88.7,75.5,98.7,102.4,92.9,95.1
Indiana,11,90.9,92.6,77.3,98.1,98.2,94,96.5
West Virginia,12,90.9,91.7,81.2,90.3,87.3,87.9,99.7
Nebraska,13,91.6,96.5,82.1,90.3,95,99.8,95.5
Iowa,14,91.9,96.3,78.5,97.5,99.5,99.2,96.3
Texas,15,91.9,89,85.3,102.5,91.7,95.3,95.1
Ohio,16,92.8,98,77.1,92.2,100,97.5,100.7
Louisiana,17,93.1,98.5,85.2,88.6,97.9,97.5,96.6
Kentucky,18,93.1,90.6,80.9,95.2,97.2,92.1,102.1
Idaho,19,93.3,92,88.6,82.4,104.1,97.1,97.1
Illinois,20,94.9,96.3,85.7,98.1,107.1,99.8,96.9
North Carolina,21,95,97.9,82.4,97.8,91.8,111.6,101.6
Wisconsin,22,96.4,97.5,88,99,101.2,114.3,98.2
South Carolina,23,96.5,101.7,85.9,107.8,90.6,95,101.4
Utah,24,97.4,99.7,92,91.6,102.3,94.4,101.2
North Dakota,25,97.8,105.9,92.3,92.3,105.6,111.1,96.8
Florida,26,98.2,103.4,95.9,101.7,96.2,97,97.7
Puerto Rico,27,99.6,117.5,83.2,157,98,66.7,94.2
Arizona,28,99.6,98.4,99.4,105.9,107.1,97.2,96.9
South Dakota,29,100.7,103.9,110.6,91.9,98.3,101,94.6
Virginia,30,101.4,96.8,111.1,98.7,90.3,97.2,99.6
Minnesota,31,101.5,106.3,88,98.8,101.2,111.5,109.8
Wyoming,32,101.7,102.6,100.8,84.9,92.5,100.6,109
Pennsylvania,33,102.4,106.5,102.1,107.2,109.4,92.9,99
Colorado,34,104.8,99.7,119.4,88,99.1,103.8,101.6
Montana,35,106.3,104.1,117.8,83.7,103.3,95.8,106.4
Delaware,36,107.9,117.2,97.8,94.8,103.8,98.7,117.7
Nevada,37,108.4,107,120.7,92.4,119.9,107,100.8
New Hampshire,38,108.5,102,108.4,118,103.9,115.9,108.8
Washington,39,110.1,107.4,117.6,89,117.4,119,108
Vermont,40,114.3,110.8,130.6,119.2,112.7,100.6,103.7
Maine,41,116.6,108.3,127.8,110,107.3,117.6,115.2
Rhode Island,42,118.7,106.4,131.3,126.6,112,109.3,114.5
New Jersey,43,123.7,109.5,162.8,102.3,108.7,101.6,111.3
Connecticut,44,126.5,110.1,144.3,131,112.7,111.8,123.3
Maryland,45,127.6,112.3,180.9,107.3,110.3,87.1,107.3
Alaska,46,128.3,134,134.6,156.4,121.4,150.8,112.7
Massachusetts,47,130.1,113.8,169.8,107.6,109,122,118.3
Oregon,48,134,112.1,184.3,87.2,130.8,115.6,119.3
New York,49,137.3,114.4,206.5,107.1,108.1,102.5,112.5
California,50,137.7,119.3,194.8,115.1,134.3,112.9,110.6
District of Columbia,51,159,115.7,274,118.1,110.4,95.7,118
Hawaii,52,191.8,164.6,328.9,172.5,137.9,118.7,124.1
US Average,**,100,100,100,100,100,100,100
